State,Hotel Name,City,Check-in Date,Check-out Date,Total Price,Currency
Maine,Courtyard by Marriott Portland Airport,Portland,2024-12-25,2024-12-27,308.47,USD
Maine,Courtyard by Marriott Portland Downtown Waterfront,Portland,2024-12-25,2024-12-27,323.73,USD
Maine,DOUBLETREE BY HILTON PORTLAND ME,Portland,2024-12-25,2024-12-27,2092.80,USD
Michigan,Fairfield Inn and Suites by Marriott Detroit Metro Airport Romulus,Detroit,2024-12-25,2024-12-27,258.57,USD
Michigan,SpringHill Suites by Marriott Detroit Metro Airport Romulus,Detroit,2024-12-25,2024-12-27,313.82,USD
Michigan,Courtyard by Marriott Detroit Metro Airport Romulus,Detroit,2024-12-25,2024-12-27,316.03,USD
Michigan,Detroit Metro Airport Marriott,Detroit,2024-12-25,2024-12-27,358.30,USD
Michigan,Sheraton Detroit Metro Airport,Detroit,2024-12-25,2024-12-27,378.70,USD
Minnesota,Fairfield Inn and Suites by Marriott Minneapolis-St. Paul Airport,Minneapolis,2024-12-25,2024-12-27,196.96,USD
Minnesota,Fairfield Inn and Suites by Marriott Mpls Bloomington Mall of America,Minneapolis,2024-12-25,2024-12-27,226.66,USD
Minnesota,Courtyard by Marriott Bloomington by Mall of America,Minneapolis,2024-12-25,2024-12-27,233.71,USD
Minnesota,SpringHill Suites by Marriott Minneapolis-St Paul Airport Mall of America,Minneapolis,2024-12-25,2024-12-27,233.71,USD
Minnesota,Courtyard by Marriott Minneapolis St Paul Airport,Minneapolis,2024-12-25,2024-12-27,278.97,USD
Mississippi,HOLIDAY INN EXP STES FLOWOOD,Jackson,2024-12-25,2024-12-27,262.08,USD
Missouri,FOUR POINTS AIRPORT KANSAS,Kansas City,2024-12-25,2024-12-27,237.61,USD
Missouri,Fairfield Inn and Suites by Marriott Kansas City Airport,Kansas City,2024-12-25,2024-12-27,272.56,USD
Missouri,Renaissance St Louis Airport Hotel,St. Louis,2024-12-25,2024-12-27,317.40,USD
Missouri,Marriott St Louis Airport,St. Louis,2024-12-25,2024-12-27,342.86,USD
Missouri,Kansas City Airport Marriott,Kansas City,2024-12-25,2024-12-27,404.46,USD
Maryland,TownePlace Suites by Marriott Arundel Mills BWI Airport,Baltimore,2024-12-25,2024-12-27,219.00,USD
Maryland,BWI Airport Marriott,Baltimore,2024-12-25,2024-12-27,225.72,USD
Maryland,Fairfield Inn and Suites by Marriott Arundel Mills BWI Airport,Baltimore,2024-12-25,2024-12-27,231.34,USD
Maryland,SpringHill Suites by Marriott Arundel Mills BWI Airport,Baltimore,2024-12-25,2024-12-27,231.89,USD
Maryland,Aloft BWI Baltimore Washington International Airport,Baltimore,2024-12-25,2024-12-27,240.31,USD
New Hampshire,Fairfield Inn by Marriott Manchester-Boston Regional Airport,Manchester,2024-12-25,2024-12-27,183.12,USD
New Hampshire,TownePlace Suites by Marriott Manchester-Boston Regional Airport,Manchester,2024-12-25,2024-12-27,245.21,USD
New Hampshire,Courtyard by Marriott Manchester-Boston Regional Airport,Manchester,2024-12-25,2024-12-27,251.72,USD
New Hampshire,SpringHill Suites by Marriott Manchester-Boston Regional Airport,Manchester,2024-12-25,2024-12-27,256.06,USD
New Hampshire,HOLIDAY INN AIRPORT,Manchester,2024-12-25,2024-12-27,275.44,USD
Nebraska,HOLIDAY INN DOWNTOWN AIRPORT,Omaha,2024-12-25,2024-12-27,218.37,USD
Nebraska,Fairfield Inn and Suites by Marriott Omaha East-Council Bluffs IA,Omaha,2024-12-25,2024-12-27,229.84,USD
Nebraska,CANDLEWOOD STES OMAHA AIRPORT,Omaha,2024-12-25,2024-12-27,246.97,USD
Nebraska,Fairfield Inn and Suites by Marriott Omaha Downtown,Omaha,2024-12-25,2024-12-27,249.33,USD
New Mexico,Hyatt Place Albuquerque Airport,Albuquerque,2024-12-25,2024-12-27,183.08,USD
New Mexico,Sheraton Albuquerque Airport Hotel,Albuquerque,2024-12-25,2024-12-27,233.82,USD
New Mexico,Holiday Inn Htl Stes ABQ Arpt,Albuquerque,2024-12-25,2024-12-27,244.90,USD
New Mexico,Fairfield Inn and Suites by Marriott Albuquerque Airport,Albuquerque,2024-12-25,2024-12-27,268.54,USD
New Mexico,Courtyard by Marriott Albuquerque Airport,Albuquerque,2024-12-25,2024-12-27,289.29,USD
New Jersey,Fairfield Inn and Suites by Marriott Newark Liberty International Airport,Newark,2024-12-25,2024-12-27,301.63,USD
New Jersey,SpringHill Suites by Marriott Newark Liberty International Airport,Newark,2024-12-25,2024-12-27,319.13,USD
New Jersey,Courtyard by Marriott Newark Downtown,Newark,2024-12-25,2024-12-27,330.75,USD
New Jersey,Courtyard by Marriott Newark Elizabeth,Newark,2024-12-25,2024-12-27,353.72,USD
New Jersey,Courtyard by Marriott Newark Liberty International Airport,Newark,2024-12-25,2024-12-27,391.43,USD
